Game Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LG1,LG2,LG3,LG4,QF1,LG5,MR1,LG6,QF2,LG7,MR2,LG8,QF3,MR3,LG9,QF4,MR4,QF5,AG1,LG10,QF6,MR5,LG11,QF7,MR6,LG12,QF8,MR7,LG13,QF9,MR8,LG14,QF10,MR9,LG15.1,LG15.2,QF11,MR10,AG2,QF12,LG16,MR11,LG17,QF13,LG18,MR12,LG19,QF14,MR13,LG20,QF15,LG21,MR14,LG22,QF16,LG23,MR15,LG24,QF17,LG25,MR16,LG26,QF18,MR17,LG27,QF19,LG28,MR18,QF20,LG29,MR19,AG3,QF21,LG30,MR20,LG31,QF22,LG32,MR21,LG33,QF23,MR22,LG34,QF24,LG35,MR23,LG36,QF25,LG37,MR24,LG38,QF26,QF27,LG39,MR25,LG40,QF28,MR26,LG41,AG4,QF29,MR27,LG42,QF30,LG43,MR28,LG44,LG45,QF31,MR29,LG46,QF32,LG47,MR30,LG48,QF33.1,QF33.2,LG49,MR31,QF34,LG50,MR32,LG51,QF35,AG5,MR33,LG52,QF36,LG53,MR34,LG54,QF37,LG55,MR35,LG56,QF38,LG57,MR36,LG58,QF39,LG59,MR37,LG60,QF40.1,QF40.2,MR38.1,LG61,MR38.2,QF41,LG62,MR39,AG6,QF42,MR40,LG63,QF43,LG64,MR41,LG65,QF44,MR42,LG66,QF45,LG67,MR43,QF46,LG68,MR44,LG69,QF47,LG70,MR45,LG71,QF48,MR46,LG72,QF49,MR47
# of Players,16,29,22,30,12,20,27,25,15,21,18,20,14,15,15,14,20,21,28,29,20,29,32,17,27,36,22,27,27,19,29,28,21,27,26,32,17,36,28,19,19,18,21,17,24,26,17,23,19,28,22,27,18,28,17,27,19,28,25,24,22,35,15,21,22,24,34,19,23,29,20,34,16,22,21,17,22,30,18,27,20,20,21,17,28,22,21,24,34,26,32,31,20,25,20,27,23,16,17,37,16,17,20,17,25,19,29,22,12,20,27,15,16,14,19,19,19,25,22,17,22,20,19,21,30,14,18,15,24,13,17,14,21,17,17,20,13,17,19,22,13,15,14,14,15,18,15,15,14,16,15,24,12,14,15,16,16,14,27,22,32,23,22,25,18,21,20,13,,,,,,,,,,
Total Rank,132,16,59,13,166,84,29,43,140,73,110,84,152,140,140,152,84,73,22,16,84,16,8,117,29,2,59,29,29,98,16,22,73,29,40,8,117,2,22,98,98,110,73,117,49,40,117,55,98,22,59,29,110,22,117,29,98,22,43,49,59,4,140,73,59,49,5,98,55,16,84,5,132,59,73,117,59,13,110,29,84,84,73,117,22,59,73,49,5,40,8,12,84,43,84,29,55,132,117,1,132,117,84,117,43,98,16,59,166,84,29,140,132,152,98,98,98,43,59,117,59,84,98,73,13,152,110,140,49,162,117,152,73,117,117,84,162,117,98,59,162,140,152,152,140,110,140,140,152,132,140,49,166,152,140,132,132,152,29,59,8,55,59,43,110,73,84,162,,,,,,,,,,
# of Spectators,3,2,5,1,11,2,4,5,9,4,2,5,4,4,5,4,2,6,6,8,17,9,8,22,19,4,22,18,13,18,11,18,21,15,16,9,20,8,18,22,18,19,13,18,17,14,21,15,16,10,16,13,16,10,22,10,15,1,1,1,0,0,2,0,2,2,5,3,4,3,1,2,2,2,1,3,3,2,1,1,1,2,0,1,1,0,1,7,7,5,2,0,1,1,10,10,13,13,16,9,20,18,14,15,8,12,6,6,3,4,8,4,1,8,4,0,0,1,0,0,3,1,3,0,8,2,0,1,0,0,3,2,1,3,3,5,4,5,6,2,0,2,2,1,0,6,0,9,8,3,0,1,0,2,0,0,0,0,2,0,4,0,0,0,2,0,0,0,,,,,,,,,,
Rank,85,97,65,118,37,97,73,65,44,73,97,65,73,73,65,73,97,59,59,49,18,44,49,1,9,73,1,11,31,11,37,11,5,25,20,44,7,49,11,1,11,9,31,11,18,29,5,25,20,39,20,31,20,39,1,39,25,118,118,118,139,139,97,139,97,97,65,85,73,85,118,97,97,97,118,85,85,97,118,118,118,97,139,118,118,139,118,57,57,65,97,139,118,118,39,39,31,31,20,44,7,11,29,25,49,36,59,59,85,73,49,73,118,49,73,139,139,118,139,139,85,118,85,139,49,97,139,118,139,139,85,97,118,85,85,65,73,65,59,97,139,97,97,118,139,59,139,44,49,85,139,118,139,97,139,139,139,139,97,139,73,139,139,139,97,139,139,139,,,,,,,,,,
# of E. Kills,5,14,3,4,3,4,0,11,7,5,0,9,4,6,3,4,3,0,9,7,3,0,8,6,14,3,6,0,5,6,11,6,9,7,0,6,5,14,11,4,5,4,7,4,0,2,6,2,7,6,7,3,3,7,5,5,2,7,0,7,0,3,5,3,0,6,9,6,8,2,2,14,0,7,10,3,6,5,6,2,4,7,5,3,6,0,4,13,0,6,0,0,4,7,7,0,6,3,4,13,6,5,0,3,1,5,4,0,2,2,9,3,7,0,4,0,0,0,1,4,4,6,5,0,0,2,6,0,5,4,7,4,5,3,4,0,3,0,3,1,1,5,4,2,4,0,5,0,4,0,5,7,2,6,6,6,0,2,0,7,11,0,7,6,6,6,4,5,,,,,,,,,,
# of Neutral Evil Kils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,
# of V. Kills,1,2,1,4,0,2,0,0,0,1,0,0,1,0,1,0,3,0,0,3,0,0,0,1,1,5,1,0,2,0,1,1,0,2,0,3,0,1,0,1,0,0,1,2,4,2,4,3,0,2,0,0,2,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,4,0,1,0,0,0,1,0,0,0,,,,,,,,,,
# of Lynches,4,7,7,8,3,7,5,8,3,5,4,5,5,4,6,4,4,0,6,7,6,7,6,5,2,9,12,1,6,6,8,12,8,10,0,10,2,7,6,4,7,6,5,4,0,4,4,0,3,7,6,2,4,11,7,9,6,9,7,6,6,6,6,5,6,7,10,7,8,6,3,11,8,1,9,2,4,8,5,0,7,8,9,5,8,6,4,6,0,8,1,6,6,7,7,8,6,5,6,10,3,6,3,8,2,4,8,0,2,4,10,4,2,5,5,0,0,0,5,6,6,5,7,0,5,3,6,0,6,8,4,7,8,7,6,1,3,4,7,12,3,5,5,0,3,3,6,5,4,0,7,6,4,6,8,7,6,0,1,7,10,0,7,7,4,14,5,4,,,,,,,,,,
# of FF Deaths,0,2,3,4,0,1,4,2,0,1,0,1,0,0,1,0,1,0,3,0,0,0,4,3,1,3,2,0,4,0,3,5,0,2,0,5,0,5,0,1,3,0,0,0,2,0,0,5,1,5,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,2,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,,,,,,,,,,
# of Neutral Deaths,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,20,0,0,0,17,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,4,0,13,0,2,3,4,0,1,0,7,0,3,18,2,11,6,0,1,8,1,0,0,0,2,2,0,0,0,0,1,0,0,0,7,0,0,1,0,0,8,2,0,0,2,3,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
# of Inactive Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,3,0,0,0,0,1,1,0,1,0,0,5,0,1,0,1,0,4,1,0,2,0,0,1,1,0,0,1,2,0,0,0,2,0,0,3,2,1,1,0,4,0,2,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,7,4,1,0,3,0,0,3,0,0,2,2,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,3,1,2,0,1,0,,,,,,,,,,
# of Deaths,10,25,14,21,6,14,21,21,10,12,4,15,10,10,12,8,12,20,18,17,9,28,18,15,20,25,21,4,17,13,24,25,17,22,0,24,12,27,18,13,17,12,17,11,13,14,14,23,12,23,16,13,11,24,15,22,10,24,25,15,20,17,13,16,14,22,22,15,21,14,8,25,11,8,20,9,10,17,11,15,18,15,16,10,15,14,12,20,0,17,4,15,13,14,18,10,12,10,14,33,13,13,17,14,5,9,15,0,4,8,22,10,12,9,13,0,0,15,11,11,14,11,16,18,12,8,12,0,12,12,11,11,16,14,13,8,8,4,10,23,4,11,9,2,8,3,13,5,8,9,13,22,6,12,14,13,14,3,11,17,28,0,17,14,13,20,10,10,,,,,,,,,,
Rank,121,5,67,23,149,67,23,23,121,96,153,56,121,121,96,140,96,28,34,40,134,2,34,56,28,5,23,153,40,82,10,5,40,17,162,10,96,4,34,82,40,96,40,110,82,67,67,14,96,14,51,82,110,10,56,17,121,10,5,56,28,40,82,51,67,17,17,56,23,67,140,5,110,140,28,134,121,40,110,56,34,56,51,121,56,67,96,28,162,40,153,56,82,67,34,121,96,121,67,1,82,82,40,67,151,134,56,162,153,140,17,121,96,134,82,162,162,56,110,110,67,110,51,34,96,140,96,162,96,96,110,110,51,67,82,140,140,153,121,14,153,110,134,161,140,159,82,151,140,134,82,17,149,96,67,82,67,159,110,40,2,162,40,67,82,28,121,121,,,,,,,,,,
# of Eliminators,4,5,5,6,3,4,0,5,3,4,4,3,3,4,3,4,6,0,5,6,4,0,5,4,6,8,4,4,5,4,5,6,4,7,6,7,3,8,5,4,4,4,4,4,4,6,8,5,4,5,7,5,4,10,4,5,8,10,0,7,0,10,4,7,0,6,6,5,4,8,4,6,3,5,1,3,6,5,5,6,5,5,4,3,4,0,4,2,6,8,0,0,4,4,4,5,3,3,3,5,3,4,0,4,6,7,7,0,3,4,6,3,4,0,4,2,3,0,6,4,5,4,3,0,0,3,5,0,5,3,5,3,4,4,4,14,4,4,3,8,1,3,4,3,4,5,3,4,4,0,3,6,3,3,4,3,2,1,7,5,9,6,4,7,4,10,3,3,,,,,,,,,,
Eliminator Percentage,#REF!,17.24%,22.73%,20.00%,25.00%,20.00%,---,20.00%,20.00%,19.05%,22.22%,15.00%,21.43%,26.67%,20.00%,28.57%,30.00%,---,17.86%,20.69%,20.00%,---,15.63%,23.53%,22.22%,22.22%,18.18%,14.81%,18.52%,21.05%,17.24%,21.43%,19.05%,25.93%,23.08%,21.88%,17.65%,22.22%,17.86%,21.05%,21.05%,22.22%,19.05%,23.53%,16.67%,23.08%,47.06%,21.74%,21.05%,17.86%,31.82%,18.52%,22.22%,35.71%,23.53%,18.52%,42.11%,35.71%,---,29.17%,---,28.57%,26.67%,33.33%,---,25.00%,17.65%,26.32%,17.39%,27.59%,20.00%,17.65%,18.75%,22.73%,4.76%,17.65%,27.27%,16.67%,27.78%,22.22%,25.00%,25.00%,19.05%,17.65%,14.29%,---,19.05%,8.33%,17.65%,30.77%,---,---,20.00%,16.00%,20.00%,18.52%,13.04%,18.75%,17.65%,13.51%,18.75%,23.53%,---,23.53%,24.00%,36.84%,24.14%,---,25.00%,20.00%,22.22%,20.00%,25.00%,---,21.05%,10.53%,15.79%,---,27.27%,23.53%,22.73%,20.00%,15.79%,---,---,21.43%,27.78%,---,20.83%,23.08%,29.41%,21.43%,19.05%,23.53%,23.53%,70.00%,30.77%,23.53%,15.79%,36.36%,7.69%,20.00%,28.57%,21.43%,26.67%,27.78%,20.00%,26.67%,28.57%,---,20.00%,25.00%,25.00%,21.43%,26.67%,18.75%,12.50%,7.14%,25.93%,22.73%,28.13%,26.09%,18.18%,28.00%,22.22%,47.62%,15.00%,23.08%,,,,,,,,,,
Eliminators Lynched,0,1,4,2,0,2,0,4,0,3,4,0,2,1,1,1,2,0,1,3,4,0,5,1,0,3,3,1,3,1,1,5,2,4,0,3,0,0,1,1,3,0,3,2,0,2,4,0,0,2,1,0,2,7,2,1,4,4,0,2,0,4,3,2,0,4,4,1,2,1,0,2,2,0,0,0,0,3,1,0,1,4,3,2,1,0,1,1,0,4,0,0,0,2,2,3,0,1,2,3,0,3,0,2,0,1,6,0,0,2,3,1,2,0,2,0,0,0,2,0,3,1,1,0,0,2,2,0,4,3,0,3,3,3,0,1,0,0,3,4,0,0,0,0,1,3,2,1,1,0,2,2,2,3,3,1,1,0,0,1,5,0,1,1,0,9,3,1,,,,,,,,,,
Eliminators Vig'd,1,2,1,4,0,2,0,0,0,1,0,0,1,0,1,0,3,0,0,3,0,0,0,1,1,5,1,0,2,0,1,1,0,2,0,3,0,1,0,0,0,0,1,2,4,2,3,3,0,2,0,0,2,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,,,,,,,,,,
Thread Reply Count,462,"1,232",739,"1,029",118,617,384,503,361,657,355,451,201,226,343,210,711,221,825,"1,049",239,530,651,339,395,"1,301",529,665,607,271,976,"1,250",645,821,209,"1,484",285,937,869,366,529,493,581,311,"1,161",793,624,687,278,"1,130",652,"1,044",554,"1,768",355,972,727,"1,559",430,473,537,"1,344",323,589,392,464,980,357,434,984,329,"1,403",124,958,360,313,246,962,368,"1,286",395,628,848,433,"1,742",735,685,835,"1,108",883,780,522,336,562,433,550,233,351,410,"1,054",175,388,352,520,"1,385",443,"1,185",268,509,406,862,305,266,503,378,392,392,1062,454,177,426,583,458,288,"1,226",185,472,222,"1,116",220,528,258,918,541,525,382,229,329,504,744,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thread Reply Rank,79,11,41,22,141,54,97,73,102,48,105,82,136,130,109,134,44,132,36,20,127,64,50,110,91,8,65,47,55,122,25,10,51,37,135,4,120,29,32,101,65,75,58,116,14,38,53,45,121,15,49,21,60,1,105,26,43,3,87,76,63,7,114,56,93,78,24,104,84,23,112,5,140,28,103,115,126,27,100,9,91,52,34,85,2,42,46,35,17,31,39,69,111,59,85,61,128,108,89,19,139,96,107,70,6,83,13,123,71,90,33,117,124,73,99,99,93,93,81,138,88,57,80,118,12,137,77,131,16,133,16,125,129,62,68,98,129,112,72,40,119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
Setting,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Wheel of Time,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Non Cosmere,Cosmere,Cosmere,Non Sanderson,Cosmere,Cosmere,Non Cosmere,Sanderson Misc,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Non Cosmere,Cosmere,Cosmere,Non Sanderson,Non Sanderson,Non Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Sanderson,Cosmere,Non Sanderson,Wheel of Time,Cosmere,Cosmere,Cosmere,Cosmere,Non Sanderson,Cosmere,Cosmere,Cosmere,Non Sanderson,Non Sanderson,Non Sanderson,Cosmere,Cosmere,Cosmere,Non Sanderson,Cosmere,Cosmere,Cosmere,Non Sanderson,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Non Sanderson,Non Cosmere,Non Sanderson,Cosmere,Non Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Sanderson,Non Cosmere,Cosmere,Cosmere,Non Sanderson,Cosmere,Cosmere,Cosmere,,Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Cosmere,Non Sanderson,Non Sanderson,Cosmere,Non Sanderson,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Cosmere,Wheel of Time,Cosmere,Non Cosmere,Cosmere,Cosmere,Cosmere,Non Cosmere,Non Cosmere,Non Cosmere,Cosmere,Cosmere,Cosmere,,,,,,,Cosmere,Cosmere,Cosmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
