person,GM,Mod,Spec,gtype,GameNum,Game,Broken
Walin,N,N,Y,QF,28.0,QF28,N
little wilson,N,N,Y,MR,26.0,MR26,N
Sart,N,N,Y,MR,26.0,MR26,N
Araris Valerian,N,N,Y,MR,26.0,MR26,N
Seonid,N,N,Y,MR,26.0,MR26,N
Orlok Tsubodai,N,Y,N,MR,26.0,MR26,N
TheMightyLopen,Y,N,N,MR,26.0,MR26,N
Arraenae,N,N,Y,MR,26.0,MR26,N
Elbereth,N,N,Y,MR,26.0,MR26,N
Young Bard,N,N,Y,MR,26.0,MR26,N
Ecthelion,N,N,Y,MR,26.0,MR26,N
Elenion,N,N,Y,MR,26.0,MR26,N
Jondesu,Y,N,N,MR,26.0,MR26,N
Drake Marshall,N,N,Y,MR,26.0,MR26,N
Shqueeves,N,N,Y,MR,26.0,MR26,N
BrightnessRadiant,N,N,Y,MR,26.0,MR26,N
Asterion,N,N,Y,MR,26.0,MR26,N
little wilson,N,N,Y,LG,41.0,LG41,N
Alvron,N,Y,N,LG,41.0,LG41,N
A Joe in the Bush,Y,N,N,LG,41.0,LG41,N
Orlok Tsubodai,N,N,Y,LG,41.0,LG41,N
TheMightyLopen,N,N,Y,LG,41.0,LG41,N
Arraenae,N,N,Y,LG,41.0,LG41,N
Elbereth,N,N,Y,LG,41.0,LG41,N
Kynedath,N,N,Y,LG,41.0,LG41,N
Young Bard,N,N,Y,LG,41.0,LG41,N
Ecthelion,N,N,Y,LG,41.0,LG41,N
Elenion,N,N,Y,LG,41.0,LG41,N
Jondesu,N,N,Y,LG,41.0,LG41,N
Arinian,N,N,Y,LG,41.0,LG41,N
Drake Marshall,N,N,Y,LG,41.0,LG41,N
DeTess,N,N,Y,LG,41.0,LG41,N
Shqueeves,N,N,Y,LG,41.0,LG41,N
BrightnessRadiant,N,N,Y,LG,41.0,LG41,N
Megasif,N,N,Y,LG,41.0,LG41,N
little wilson,N,Y,N,AG,4.0,AG4,N
Kasimir,N,N,Y,AG,4.0,AG4,N
Orlok Tsubodai,Y,N,N,AG,4.0,AG4,N
STINK,Y,N,N,AG,4.0,AG4,N
Amanuensis,N,N,Y,AG,4.0,AG4,N
Elbereth,Y,N,N,AG,4.0,AG4,N
AliasSheep,N,N,Y,AG,4.0,AG4,N
Ecthelion,N,N,Y,AG,4.0,AG4,N
_Stick_,N,N,Y,AG,4.0,AG4,N
Darkness Ascendant,N,N,Y,AG,4.0,AG4,N
livinglegend,N,N,Y,AG,4.0,AG4,N
Walin,N,N,Y,AG,4.0,AG4,N
shanerockes,N,N,Y,AG,4.0,AG4,N
little wilson,N,N,Y,QF,29.0,QF29,N
Araris Valerian,N,N,Y,QF,29.0,QF29,N
Seonid,N,N,Y,QF,29.0,QF29,N
Orlok Tsubodai,N,Y,N,QF,29.0,QF29,N
TheMightyLopen,Y,N,N,QF,29.0,QF29,N
Arraenae,N,N,Y,QF,29.0,QF29,N
Elbereth,N,N,Y,QF,29.0,QF29,N
Straw,N,N,Y,QF,29.0,QF29,N
Ecthelion,N,N,Y,QF,29.0,QF29,N
Elenion,N,N,Y,QF,29.0,QF29,N
Magestar,N,N,Y,QF,29.0,QF29,N
_Stick_,N,N,Y,QF,29.0,QF29,N
Jondesu,N,N,Y,QF,29.0,QF29,N
Drake Marshall,N,N,Y,QF,29.0,QF29,N
DeTess,N,N,Y,QF,29.0,QF29,N
Shqueeves,N,N,Y,QF,29.0,QF29,N
BrightnessRadiant,N,N,Y,QF,29.0,QF29,N
Megasif,N,N,Y,QF,29.0,QF29,N
Eternum,N,N,Y,QF,29.0,QF29,N
shanerockes,N,N,Y,QF,29.0,QF29,N
Fifth Scholar,N,N,Y,QF,29.0,QF29,N
Coop772,N,N,Y,QF,29.0,QF29,N
little wilson,N,N,Y,MR,27.0,MR27,N
Sart,Y,N,N,MR,27.0,MR27,N
Araris Valerian,N,N,Y,MR,27.0,MR27,N
Seonid,N,Y,N,MR,27.0,MR27,N
TheMightyLopen,N,N,Y,MR,27.0,MR27,N
Arraenae,N,N,Y,MR,27.0,MR27,N
Elbereth,N,N,Y,MR,27.0,MR27,N
Straw,N,N,Y,MR,27.0,MR27,N
Ecthelion,N,N,Y,MR,27.0,MR27,N
Magestar,N,N,Y,MR,27.0,MR27,N
_Stick_,N,N,Y,MR,27.0,MR27,N
Arinian,N,N,Y,MR,27.0,MR27,N
Droughtbringer,N,N,Y,MR,27.0,MR27,N
DeTess,N,N,Y,MR,27.0,MR27,N
Shqueeves,N,N,Y,MR,27.0,MR27,N
Megasif,N,N,Y,MR,27.0,MR27,N
Walin,N,N,Y,MR,27.0,MR27,N
shanerockes,N,N,Y,MR,27.0,MR27,N
Fifth Scholar,N,N,Y,MR,27.0,MR27,N
Coop772,N,N,Y,MR,27.0,MR27,N
little wilson,N,N,Y,LG,42.0,LG42,Y
Alvron,N,Y,N,LG,42.0,LG42,Y
A Joe in the Bush,Y,N,N,LG,42.0,LG42,Y
Seonid,N,N,Y,LG,42.0,LG42,Y
Arraenae,N,N,Y,LG,42.0,LG42,Y
Elbereth,Y,N,N,LG,42.0,LG42,Y
Kynedath,N,N,Y,LG,42.0,LG42,Y
Ecthelion,N,N,Y,LG,42.0,LG42,Y
Elenion,N,N,Y,LG,42.0,LG42,Y
Arinian,N,N,Y,LG,42.0,LG42,Y
Drake Marshall,N,N,Y,LG,42.0,LG42,Y
DeTess,N,N,Y,LG,42.0,LG42,Y
Shqueeves,N,N,Y,LG,42.0,LG42,Y
BrightnessRadiant,N,N,Y,LG,42.0,LG42,Y
MacThorstenson,N,N,Y,LG,42.0,LG42,Y
MonsterMetroid,N,N,Y,LG,42.0,LG42,Y
Coop772,N,N,Y,LG,42.0,LG42,Y
little wilson,N,N,Y,QF,30.0,QF30,N
Sart,N,N,Y,QF,30.0,QF30,N
Seonid,N,N,Y,QF,30.0,QF30,N
Orlok Tsubodai,N,Y,N,QF,30.0,QF30,N
Arraenae,N,N,Y,QF,30.0,QF30,N
Elbereth,N,N,Y,QF,30.0,QF30,N
Kynedath,N,N,Y,QF,30.0,QF30,N
Magestar,N,N,Y,QF,30.0,QF30,N
_Stick_,N,N,Y,QF,30.0,QF30,N
Jondesu,N,N,Y,QF,30.0,QF30,N
Drake Marshall,Y,N,N,QF,30.0,QF30,N
Steeldancer,N,N,Y,QF,30.0,QF30,N
Megasif,N,N,Y,QF,30.0,QF30,N
Eternum,N,N,Y,QF,30.0,QF30,N
Walin,N,N,Y,QF,30.0,QF30,N
shanerockes,N,N,Y,QF,30.0,QF30,N
Fifth Scholar,N,N,Y,QF,30.0,QF30,N
little wilson,N,Y,N,LG,43.0,LG43,Y
Seonid,Y,N,N,LG,43.0,LG43,Y
STINK,N,N,Y,LG,43.0,LG43,Y
Arraenae,Y,N,N,LG,43.0,LG43,Y
Kynedath,N,N,Y,LG,43.0,LG43,Y
Ecthelion,N,N,Y,LG,43.0,LG43,Y
Elenion,N,N,Y,LG,43.0,LG43,Y
Shqueeves,N,N,Y,LG,43.0,LG43,Y
BrightnessRadiant,N,N,Y,LG,43.0,LG43,Y
Walin,N,N,Y,LG,43.0,LG43,Y
Coop772,N,N,Y,LG,43.0,LG43,Y
little wilson,N,Y,N,MR,28.0,MR28,N
Seonid,N,N,Y,MR,28.0,MR28,N
Arraenae,N,N,Y,MR,28.0,MR28,N
Elbereth,N,N,Y,MR,28.0,MR28,N
Straw,N,N,Y,MR,28.0,MR28,N
Elenion,Y,N,N,MR,28.0,MR28,N
Arinian,N,N,Y,MR,28.0,MR28,N
Hemalurgic Headshot,N,N,Y,MR,28.0,MR28,N
DeTess,N,N,Y,MR,28.0,MR28,N
Shqueeves,N,N,Y,MR,28.0,MR28,N
BrightnessRadiant,N,N,Y,MR,28.0,MR28,N
Megasif,N,N,Y,MR,28.0,MR28,N
shanerockes,N,N,Y,MR,28.0,MR28,N
MonsterMetroid,N,N,Y,MR,28.0,MR28,N
Arraenae,N,N,Y,LG,44.0,LG44,N
Kasimir,N,N,Y,LG,44.0,LG44,N
Tineye Navigator,N,N,Y,LG,44.0,LG44,N
RippleGylf,N,N,Y,LG,44.0,LG44,N
Renegade,N,N,Y,LG,44.0,LG44,N
Elandera,N,N,Y,LG,44.0,LG44,N
Orlok Tsubodai,N,Y,N,LG,44.0,LG44,N
Fifth Scholar,Y,N,N,LG,44.0,LG44,N
Herowannabe,Y,N,N,LG,44.0,LG44,N
Elbereth,Y,N,N,LG,44.0,LG44,N
Devotary of Spontaneity,N,N,Y,LG,45.0,LG45,N
Droughtbringer,N,N,Y,LG,45.0,LG45,N
A Joe in the Bush,Y,N,N,QF,31.0,QF31,N
Kynedath,N,N,Y,QF,31.0,QF31,N
Seonid,N,Y,N,QF,31.0,QF31,N
Elbereth,N,N,Y,QF,31.0,QF31,N
Straw,Y,N,N,LG,45.0,LG45,N
Steeldancer,N,N,Y,QF,31.0,QF31,N
xinoehp512,N,N,Y,LG,45.0,LG45,N
Orlok Tsubodai,N,Y,N,LG,45.0,LG45,N
DeTess,N,N,Y,LG,45.0,LG45,N
Elenion,N,N,Y,LG,45.0,LG45,N
Sart,N,N,Y,LG,45.0,LG45,N
Drake Marshall,Y,N,N,MR,29.0,MR29,Y
DeTess,Y,N,N,MR,29.0,MR29,Y
Seonid,N,Y,N,MR,29.0,MR29,Y
Straw,N,N,Y,MR,29.0,MR29,Y
Kidpen,N,N,Y,MR,29.0,MR29,Y
Elbereth,N,N,Y,MR,29.0,MR29,Y
ElephantEarwax,N,N,Y,MR,29.0,MR29,Y
Steeldancer,Y,N,N,LG,46.0,LG46,Y
Alvron,N,Y,N,LG,46.0,LG46,Y
Young Bard,N,N,Y,LG,46.0,LG46,Y
xinoehp512,N,N,Y,LG,46.0,LG46,Y
Shqueeves,N,N,Y,LG,46.0,LG46,Y
Caesura,N,N,Y,LG,46.0,LG46,Y
_Stick_,N,N,Y,LG,46.0,LG46,Y
Orlok Tsubodai,N,N,Y,LG,46.0,LG46,Y
Arraenae,N,N,Y,LG,46.0,LG46,Y
Droughtbringer,N,N,Y,LG,46.0,LG46,Y
Straw,Y,N,N,QF,32.0,QF32,Y
Orlok Tsubodai,N,Y,N,QF,32.0,QF32,Y
Fifth Scholar,N,N,Y,QF,32.0,QF32,Y
Steeldancer,N,N,Y,QF,32.0,QF32,Y
Kidpen,N,N,Y,QF,32.0,QF32,Y
xxGaea,N,N,Y,QF,32.0,QF32,Y
Jondesu,Y,N,N,LG,47.0,LG47,N
little wilson,N,Y,N,LG,47.0,LG47,N
Sart,N,N,Y,LG,47.0,LG47,N
Seonid,Y,N,N,MR,30.0,MR30,N
Fifth Scholar,Y,N,N,MR,30.0,MR30,N
Orlok Tsubodai,N,Y,N,MR,30.0,MR30,N
Steeldancer,N,N,Y,MR,30.0,MR30,N
Jondesu,N,N,Y,MR,30.0,MR30,N
Devotary of Spontaneity,N,N,Y,MR,30.0,MR30,N
Rathmaskal,N,N,Y,MR,30.0,MR30,N
Droughtbringer,N,N,Y,MR,30.0,MR30,N
Elbereth,N,N,Y,MR,30.0,MR30,N
Arraenae,N,N,Y,MR,30.0,MR30,N
little wilson,N,N,Y,MR,30.0,MR30,N
Fifth Scholar,Y,N,N,LG,48.0,LG48,N
Devotary of Spontaneity,Y,N,N,LG,48.0,LG48,N
Seonid,N,Y,N,LG,48.0,LG48,N
Elbereth,N,N,Y,LG,48.0,LG48,N
Mr. Doctor,N,N,Y,LG,48.0,LG48,N
Mafia,N,N,Y,LG,48.0,LG48,N
Arraenae,N,N,Y,LG,48.0,LG48,N
Herowannabe,Y,N,N,QF,33.1,QF33.1,Y
Alvron,N,Y,N,QF,33.1,QF33.1,Y
Herowannabe,Y,N,N,QF,33.2,QF33.2,N
Alvron,N,Y,N,QF,33.2,QF33.2,N
little wilson,Y,N,N,LG,49.0,LG49,N
Orlok Tsubodai,Y,N,N,LG,49.0,LG49,N
Elbereth,Y,N,N,LG,49.0,LG49,N
Alvron,N,Y,N,LG,49.0,LG49,N
Aonar,N,N,Y,LG,49.0,LG49,N
A Joe in the Bush,Y,N,N,MR,31.0,MR31,N
Darkness Ascendant,Y,N,N,MR,31.0,MR31,N
Seonid,N,Y,N,MR,31.0,MR31,N
BrightnessRadiant,Y,N,N,QF,34.0,QF34,N
Orlok Tsubodai,N,Y,N,QF,34.0,QF34,N
Wyrmhero,Y,N,N,LG,50.0,LG50,N
little wilson,N,Y,N,LG,50.0,LG50,N
STINK,N,N,Y,LG,50.0,LG50,N
Arraenae,N,N,Y,LG,50.0,LG50,N
Elbereth,N,N,Y,LG,50.0,LG50,N
Fifth Scholar,Y,N,N,MR,32.0,MR32,N
Elandera,Y,N,N,MR,32.0,MR32,N
Alvron,N,Y,N,MR,32.0,MR32,N
Shqueeves,N,N,Y,MR,32.0,MR32,N
Straw,Y,N,N,LG,51.0,LG51,N
Orlok Tsubodai,N,Y,N,LG,51.0,LG51,N
Fifth Scholar,N,N,Y,LG,51.0,LG51,N
Steeldancer,N,N,Y,LG,51.0,LG51,N
Ark1002,N,N,Y,LG,51.0,LG51,N
Sart,Y,N,N,QF,35.0,QF35,N
Alvron,N,Y,N,QF,35.0,QF35,N
Seonid,Y,N,N,AG,5.0,AG5,Y
A Joe in the Bush,Y,N,N,AG,5.0,AG5,Y
Orlok Tsubodai,N,Y,N,AG,5.0,AG5,Y
little wilson,N,N,Y,AG,5.0,AG5,Y
Arraenae,N,N,Y,AG,5.0,AG5,Y
Bugsy,N,N,Y,AG,5.0,AG5,Y
BrightnessRadiant,N,N,Y,AG,5.0,AG5,Y
Watcher,N,N,Y,AG,5.0,AG5,Y
Straw,N,N,Y,AG,5.0,AG5,Y
Walin,N,N,Y,AG,5.0,AG5,Y
MonsterMetroid,N,N,Y,AG,5.0,AG5,Y
Young Bard,Y,N,N,MR,33.0,MR33,N
Alvron,N,Y,N,MR,33.0,MR33,N
A Joe in the Bush,N,N,Y,MR,33.0,MR33,N
Furamirionind,N,N,Y,MR,33.0,MR33,N
Kidpen,Y,N,N,LG,52.0,LG52,N
Alvron,N,Y,N,LG,52.0,LG52,N
Steeldancer,Y,N,N,QF,36.0,QF36,N
Droughtbringer,Y,N,N,QF,36.0,QF36,N
Fifth Scholar,N,Y,N,QF,36.0,QF36,N
Furamirionind,N,N,Y,QF,36.0,QF36,N
A Joe in the Bush,Y,N,N,LG,53.0,LG53,N
xxGaea,Y,N,N,LG,53.0,LG53,N
Orlok Tsubodai,N,Y,N,LG,53.0,LG53,N
Sart,Y,N,N,MR,34.0,MR34,N
Fifth Scholar,N,Y,N,MR,34.0,MR34,N
Steeldancer,Y,N,N,LG,54.0,LG54,N
Mailliw73,Y,N,N,LG,54.0,LG54,N
Alvron,N,Y,N,LG,54.0,LG54,N
Araris Valerian,N,N,Y,LG,54.0,LG54,N
Young Bard,N,N,Y,LG,54.0,LG54,N
Straw,N,N,Y,LG,54.0,LG54,N
Young Bard,Y,N,N,QF,37.0,QF37,N
Fifth Scholar,N,Y,N,QF,37.0,QF37,N
Furamirionind,N,N,Y,QF,37.0,QF37,N
Dr. Dapper,N,N,Y,QF,37.0,QF37,N
Fifth Scholar,Y,N,N,LG,55.0,LG55,N
Alvron,N,Y,N,LG,55.0,LG55,N
Elbereth,N,N,Y,LG,55.0,LG55,N
Steeldancer,Y,N,N,MR,35.0,MR35,N
Alvron,N,Y,N,MR,35.0,MR35,N
Elbereth,N,N,Y,MR,35.0,MR35,N
Fifth Scholar,N,N,Y,MR,35.0,MR35,N
Roadwalker,N,N,Y,MR,35.0,MR35,N
StrikerEZ,Y,N,N,LG,56.0,LG56,N
Mailliw73,Y,N,N,LG,56.0,LG56,N
Alvron,N,Y,N,LG,56.0,LG56,N
Steeldancer,N,N,Y,LG,56.0,LG56,N
Elandera,N,N,Y,LG,56.0,LG56,N
Cadmium Compounder,N,N,Y,LG,56.0,LG56,N
Alvron,Y,N,N,QF,38.0,QF38,N
Orlok Tsubodai,N,Y,N,QF,38.0,QF38,N
little wilson,N,Y,N,QF,38.0,QF38,N
Furamirionind,N,N,Y,QF,38.0,QF38,N
Steeldancer,N,N,Y,QF,38.0,QF38,N
_Stick_,N,N,Y,QF,38.0,QF38,N
Amanuensis,N,N,Y,QF,38.0,QF38,N
Darkness Ascendant,N,N,Y,QF,38.0,QF38,N
Sart,Y,N,N,LG,57.0,LG57,N
Ark1002,Y,N,N,LG,57.0,LG57,N
Fifth Scholar,N,Y,N,LG,57.0,LG57,N
Furamirionind,N,N,Y,LG,57.0,LG57,N
Straw,N,N,Y,LG,57.0,LG57,N
_Stick_,N,N,Y,LG,57.0,LG57,N
Mailliw73,N,N,Y,LG,57.0,LG57,N
DeTess,Y,N,N,MR,36.0,MR36,N
Young Bard,Y,N,N,MR,36.0,MR36,N
Fifth Scholar,N,Y,N,MR,36.0,MR36,N
Furamirionind,N,N,Y,MR,36.0,MR36,N
Butt Ad Venture,N,N,Y,MR,36.0,MR36,N
Snipexe,N,N,Y,MR,36.0,MR36,N
Rathmaskal,N,N,Y,MR,36.0,MR36,N
Cadmium Compounder,N,N,Y,MR,36.0,MR36,N
Straw,Y,N,N,LG,58.0,LG58,N
Alvron,N,Y,Y,LG,58.0,LG58,N
_Stick_,N,N,Y,LG,58.0,LG58,N
Butt Ad Venture,N,N,Y,LG,58.0,LG58,N
A Joe in the Bush,N,N,Y,LG,58.0,LG58,N
Furamirionind,N,N,Y,LG,58.0,LG58,N
Drake Marshall,N,N,Y,LG,58.0,LG58,N
A Joe in the Bush,Y,N,N,QF,39.0,QF39,N
little wilson,N,Y,N,QF,39.0,QF39,N
xxGaea,N,N,Y,QF,39.0,QF39,N
Amanuensis,N,N,Y,QF,39.0,QF39,N
Lumgol,Y,N,N,LG,59.0,LG59,N
Coop772,Y,N,N,LG,59.0,LG59,N
Alvron,N,Y,N,LG,59.0,LG59,N
Elandera,Y,N,N,MR,37.0,MR37,N
Fifth Scholar,N,Y,N,MR,37.0,MR37,N
Lumgol,N,N,Y,MR,37.0,MR37,N
Ark1002,N,N,Y,MR,37.0,MR37,N
Elandera,Y,N,N,LG,60.0,LG60,N
Snipexe,Y,N,N,LG,60.0,LG60,N
Alvron,N,Y,N,LG,60.0,LG60,N
Lumgol,N,N,Y,LG,60.0,LG60,N
Kasimir,N,N,Y,LG,60.0,LG60,N
Kasimir,Y,N,N,QF,40.1,QF40.1,Y
Haelbarde,Y,N,N,QF,40.1,QF40.1,Y
Fifth Scholar,N,Y,N,QF,40.1,QF40.1,Y
Cadmium Compounder,N,N,Y,QF,40.1,QF40.1,Y
Kasimir,Y,N,N,QF,40.2,QF40.2,N
Haelbarde,Y,N,N,QF,40.2,QF40.2,N
Fifth Scholar,N,Y,N,QF,40.2,QF40.2,N
Elbereth,Y,N,N,MR,38.1,MR38.1,Y
little wilson,N,Y,N,MR,38.1,MR38.1,Y
Tugog the Rhymer,N,N,Y,MR,38.1,MR38.1,Y
Arraenae,N,N,Y,MR,38.1,MR38.1,Y
Darkness Ascendant,N,N,Y,MR,38.1,MR38.1,Y
Devotary of Spontaneity,N,N,Y,MR,38.1,MR38.1,Y
Furamirionind,N,N,Y,MR,38.1,MR38.1,Y
Lorien,N,N,Y,MR,38.1,MR38.1,Y
Fifth Scholar,Y,N,N,LG,61.0,LG61,Y
Devotary of Spontaneity,Y,N,N,LG,61.0,LG61,Y
Snipexe,Y,N,N,LG,61.0,LG61,Y
Alvron,N,Y,N,LG,61.0,LG61,Y
Elbereth,Y,N,N,MR,38.2,MR38.2,N
little wilson,N,Y,N,MR,38.2,MR38.2,N
Tugog the Rhymer,N,N,Y,MR,38.2,MR38.2,N
Arraenae,N,N,Y,MR,38.2,MR38.2,N
Darkness Ascendant,N,N,Y,MR,38.2,MR38.2,N
Devotary of Spontaneity,N,N,Y,MR,38.2,MR38.2,N
Furamirionind,N,N,Y,MR,38.2,MR38.2,N
Lorien,N,N,Y,MR,38.2,MR38.2,N
Madagascar,N,N,Y,MR,38.2,MR38.2,N
Elandera,N,N,Y,MR,38.2,MR38.2,N
Haelbarde,N,N,Y,MR,38.2,MR38.2,N
Young Bard,Y,N,N,QF,41.0,QF41,N
Fifth Scholar,N,Y,N,QF,41.0,QF41,N
Elbereth,N,N,Y,QF,41.0,QF41,N
Aonar,N,N,Y,QF,41.0,QF41,N
Bugsy,N,N,Y,QF,41.0,QF41,N
Pejidot,N,N,Y,QF,41.0,QF41,N
little wilson,N,N,Y,QF,41.0,QF41,N
Kasimir,N,N,Y,QF,41.0,QF41,N
Arraenae,N,N,Y,QF,41.0,QF41,N
STINK,N,N,Y,QF,41.0,QF41,N
Straw,Y,N,N,LG,62.0,LG62,N
Young Bard,N,N,Y,LG,62.0,LG62,N
Cadmium Compounder,N,N,Y,LG,62.0,LG62,N
Furamirionind,N,N,Y,LG,62.0,LG62,N
BrightnessRadiant,Y,N,N,MR,39.0,MR39,N
Fifth Scholar,N,Y,N,MR,39.0,MR39,N
Fifth Scholar,Y,N,N,AG,6.0,AG6,N
Elbereth,Y,N,N,AG,6.0,AG6,N
little wilson,N,Y,N,AG,6.0,AG6,N
Seonid,N,N,Y,AG,6.0,AG6,N
Elandera,Y,N,N,QF,42.0,QF42,N
Elandera,Y,N,N,MR,40.0,MR40,N
Devotary of Spontaneity,N,Y,N,MR,40.0,MR40,N
Arraenae,N,N,Y,MR,40.0,MR40,N
Young Bard,N,N,Y,MR,40.0,MR40,N
DeTess,Y,N,N,LG,63.0,LG63,N
Araris Valerian,Y,N,N,LG,63.0,LG63,N
Elkanah,Y,N,N,QF,43.0,QF43,N
little wilson,Y,N,N,LG,64.0,LG64,N
Elbereth,Y,N,N,LG,64.0,LG64,N
Devotary of Spontaneity,N,Y,N,LG,64.0,LG64,N
Fifth Scholar,Y,N,N,MR,41.0,MR41,N
StrikerEZ,Y,N,N,MR,41.0,MR41,N
little wilson,N,Y,N,MR,41.0,MR41,N
little wilson,Y,N,N,LG,65.0,LG65,Y
Elbereth,Y,N,N,LG,65.0,LG65,Y
Fifth Scholar,N,Y,N,LG,65.0,LG65,Y
The_God_King,N,N,Y,LG,65.0,LG65,Y
Orlok Tsubodai,N,N,Y,LG,65.0,LG65,Y
Straw,Y,N,N,QF,44.0,QF44,N
Experience,Y,N,N,QF,44.0,QF44,N
Devotary of Spontaneity,N,Y,N,QF,44.0,QF44,N
A Joe in the Bush,Y,N,N,MR,42.0,MR42,N
Elbereth,N,Y,N,MR,42.0,MR42,N
Elandera,N,N,Y,MR,42.0,MR42,N
Alvron,N,N,Y,MR,42.0,MR42,N
Young Bard,N,N,Y,MR,42.0,MR42,N
xxGaea,N,N,Y,MR,42.0,MR42,N
StrikerEZ,Y,N,N,LG,66.0,LG66,N
Young Bard,Y,N,N,LG,66.0,LG66,N
Fifth Scholar,N,Y,N,LG,66.0,LG66,N
Orlok Tsubodai,Y,N,N,QF,45.0,QF45,N
little wilson,N,Y,N,QF,45.0,QF45,N
Straw,Y,N,N,LG,67.0,LG67,N
little wilson,N,Y,N,LG,67.0,LG67,N
Kasimir,Y,N,N,MR,43.0,MR43,N
Fifth Scholar,N,Y,N,MR,43.0,MR43,N
Straw,N,N,Y,MR,43.0,MR43,N
Elandera,N,N,Y,MR,43.0,MR43,N
Elbereth,Y,N,N,QF,46.0,QF46,N
little wilson,N,Y,N,QF,46.0,QF46,N
The_God_King,Y,N,N,LG,68.0,LG68,N
Elkanah,Y,N,N,LG,68.0,LG68,N
Elbereth,N,Y,N,LG,68.0,LG68,N
Straw,Y,N,N,MR,44.0,MR44,N
Devotary of Spontaneity,N,Y,N,MR,44.0,MR44,N
Zillah,Y,N,N,LG,69.0,LG69,N
Devotary of Spontaneity,N,Y,N,LG,69.0,LG69,N
Sart,Y,N,N,QF,47.0,QF47,N
Devotary of Spontaneity,N,Y,N,QF,47.0,QF47,N
Kynedath,Y,N,N,LG,70.0,LG70,N
Elbereth,N,Y,N,LG,70.0,LG70,N
Experience,Y,N,N,MR,45.0,MR45,N
Devotary of Spontaneity,N,Y,N,MR,45.0,MR45,N
Straw,Y,N,N,LG,71.0,LG71,N
Matrim's_Dice,Y,N,N,LG,71.0,LG71,N
little wilson,N,Y,N,LG,71.0,LG71,N
Elkanah,Y,N,N,QF,48.0,QF48,N
Elbereth,N,Y,N,QF,48.0,QF48,N
Matrim's_Dice,Y,N,N,MR,46.0,MR46,N
Lotus,Y,N,N,MR,46.0,MR46,N
Devotary of Spontaneity,N,Y,N,MR,46.0,MR46,N
Ashbringer,Y,N,N,LG,72.0,LG72,N
Elandera,Y,N,N,LG,72.0,LG72,N
Elbereth,N,Y,N,LG,72.0,LG72,N
Straw,Y,N,N,QF,49.0,QF49,N
Devotary of Spontaneity,N,Y,N,QF,49.0,QF49,N
Elandera,Y,N,N,MR,47.0,MR47,N
Gears,Y,N,N,MR,47.0,MR47,N
Devotary of Spontaneity,N,Y,N,MR,47.0,MR47,N
little wilson,Y,N,N,AG,7.0,AG7,N
Elbereth,Y,N,N,AG,7.0,AG7,N
Fifth Scholar,N,Y,N,AG,7.0,AG7,N
Postt,N,N,Y,AG,7.0,AG7,N
anonymouse,N,N,Y,AG,7.0,AG7,N
